project_name,url,topics
berkeleydeeprlcourse/homework,https://github.com/berkeleydeeprlcourse/homework.git,[[]]
richliao/textClassifier,https://github.com/richliao/textClassifier.git,"[['text-classification', 'hierarchical-attention-networks', 'attention-mechanism', 'recurrent-neural-networks', 'convolutional-neural-networks']]"
commonsense/conceptnet5,https://github.com/commonsense/conceptnet5.git,[[]]
google/deepvariant,https://github.com/google/deepvariant.git,"[['tensorflow', 'deep-neural-network', 'genomics', 'science', 'dna', 'sequencing', 'genome', 'bioinformatics', 'deep-learning', 'ngs', 'deepvariant', 'machine-learning']]"
mil-tokyo/webdnn,https://github.com/mil-tokyo/webdnn.git,"[['deep-neural-networks', 'accelerate', 'optimization', 'javascript', 'webgpu']]"
jadore801120/attention-is-all-you-need-pytorch,https://github.com/jadore801120/attention-is-all-you-need-pytorch.git,"[['attention', 'deep-learning', 'attention-is-all-you-need', 'pytorch', 'nlp', 'natural-language-processing']]"
instacart/lore,https://github.com/instacart/lore.git,"[['machine-learning', 'python']]"
charlesq34/pointnet,https://github.com/charlesq34/pointnet.git,"[['point-cloud', 'classification', 'segmentation', 'neural-network', 'tensorflow', 'geometry-processing']]"
KupynOrest/DeblurGAN,https://github.com/KupynOrest/DeblurGAN.git,"[['deep-learning', 'gan', 'deblurring', 'image-processing', 'image-manipulation', 'neural-network', 'convolutional-neural-networks', 'convolutional-networks', 'computer-vision', 'image-to-image-translation', 'blurry-images', 'pytorch', 'paper', 'pix2pix']]"
meetshah1995/pytorch-semseg,https://github.com/meetshah1995/pytorch-semseg.git,"[['pytorch', 'semantic-segmentation', 'deep-learning', 'fully-convolutional-networks']]"
polyaxon/polyaxon,https://github.com/polyaxon/polyaxon.git,"[['deep-learning', 'machine-learning', 'artificial-intelligence', 'data-science', 'reinforcement-learning', 'kubernetes', 'tensorflow', 'pytorch', 'keras', 'mxnet', 'caffe', 'ai', 'ml', 'k8s', 'jupyter', 'notebook', 'jupyterlab', 'polyaxon', 'pipelines', 'workflow']]"
google/tangent,https://github.com/google/tangent.git,"[['autodiff', 'automatic-differentiation', 'machine-learning', 'deep-learning']]"
openai/generating-reviews-discovering-sentiment,https://github.com/openai/generating-reviews-discovering-sentiment.git,[['paper']]
